level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2501	3528	-1	
2	1	1	0	0	0	382	45	1760	35	-1	
3	1	1	1	0	0	382	45	1760	35	-1	
4	1	1	1	1	0	382	45	1760	35	-1	
5	1	1	1	1	1	382	45	48	33	75	月
5	1	1	1	1	2	453	45	75	32	28	/JANA
5	1	1	1	1	3	544	45	53	34	56	T
5	1	1	1	1	4	0	0	2501	3528	56	1
5	1	1	1	1	5	627	45	77	24	43	小
5	1	1	1	1	6	0	0	2501	3528	29	V
5	1	1	1	1	7	719	45	53	35	15	T
5	1	1	1	1	8	0	0	2501	3528	58	1
5	1	1	1	1	9	809	45	69	35	60	ML
5	1	1	1	1	10	893	45	66	33	3	M
5	1	1	1	1	11	1004	45	41	33	63	1
5	1	1	1	1	12	1167	45	8	23	50	1
5	1	1	1	1	13	1194	45	36	24	50	J
5	1	1	1	1	14	1236	45	77	23	66	一
5	1	1	1	1	15	1338	45	8	23	80	人
5	1	1	1	1	16	1367	45	31	23	64	工
5	1	1	1	1	17	1408	45	36	23	55	心
5	1	1	1	1	18	1449	45	16	26	21	/
5	1	1	1	1	19	1510	45	63	24	37	王
5	1	1	1	1	20	1596	45	8	23	65	1
5	1	1	1	1	21	1639	45	52	24	39	王
5	1	1	1	1	22	1710	45	110	27	0	WJ
5	1	1	1	1	23	1841	45	67	24	62	1
5	1	1	1	1	24	1944	45	64	25	25	工
5	1	1	1	1	25	2017	45	34	25	39	人
5	1	1	1	1	26	2059	45	83	25	28	H
2	1	2	0	0	0	343	125	1841	7	-1	
3	1	2	1	0	0	343	125	1841	7	-1	
4	1	2	1	1	0	343	125	1841	7	-1	
5	1	2	1	1	1	343	125	1841	7	95	 
2	1	3	0	0	0	335	126	11	3319	-1	
3	1	3	1	0	0	335	126	11	3319	-1	
4	1	3	1	1	0	335	126	11	3319	-1	
5	1	3	1	1	1	335	126	11	3319	95	 
2	1	4	0	0	0	402	168	481	80	-1	
3	1	4	1	0	0	402	168	481	80	-1	
4	1	4	1	1	0	403	168	480	35	-1	
5	1	4	1	1	1	403	168	55	33	94	核
5	1	4	1	1	2	462	170	26	30	94	准
5	1	4	1	1	3	504	170	40	31	62	日
5	1	4	1	1	4	547	172	21	30	96	期
5	1	4	1	1	5	0	0	2501	3528	56	,
5	1	4	1	1	6	602	170	96	30	56	2007
5	1	4	1	1	7	703	174	30	29	66	半
5	1	4	1	1	8	735	172	47	28	89	01
5	1	4	1	1	9	792	171	7	32	88	月
5	1	4	1	1	10	816	175	33	26	91	12
5	1	4	1	1	11	861	173	22	29	0	日
4	1	4	1	2	0	402	214	481	34	-1	
5	1	4	1	2	1	402	214	46	32	93	修
5	1	4	1	2	2	452	214	36	32	96	改
5	1	4	1	2	3	504	215	49	32	72	日
5	1	4	1	2	4	563	231	5	14	92	期
5	1	4	1	2	5	0	0	2501	3528	79	:
5	1	4	1	2	6	601	215	97	30	88	2015
5	1	4	1	2	7	703	219	35	29	42	升
5	1	4	1	2	8	751	217	31	28	91	12
5	1	4	1	2	9	791	217	24	31	71	月
5	1	4	1	2	10	821	220	23	25	91	01
5	1	4	1	2	11	861	217	22	30	0	门
2	1	5	0	0	0	1904	250	308	170	-1	
3	1	5	1	0	0	1904	250	308	170	-1	
4	1	5	1	1	0	1904	250	308	170	-1	
5	1	5	1	1	1	1904	250	308	170	95	 
2	1	6	0	0	0	458	467	1622	2923	-1	
3	1	6	1	0	0	458	467	1622	2923	-1	
4	1	6	1	1	0	753	467	999	103	-1	
5	1	6	1	1	1	753	470	97	100	95	骨
5	1	6	1	1	2	935	469	102	99	80	肤
5	1	6	1	1	3	1125	467	210	102	61	户
5	1	6	1	1	4	1329	469	71	101	96	说
5	1	6	1	1	5	1487	473	85	95	95	明
5	1	6	1	1	6	1663	467	89	102	95	书
4	1	6	1	2	0	799	616	911	44	-1	
5	1	6	1	2	1	799	616	68	44	96	请
5	1	6	1	2	2	865	619	82	40	96	仔
5	1	6	1	2	3	963	625	4	33	96	细
5	1	6	1	2	4	967	617	58	41	96	阅
5	1	6	1	2	5	1025	616	56	43	96	读
5	1	6	1	2	6	1079	618	58	41	95	说
5	1	6	1	2	7	1136	619	23	39	96	明
5	1	6	1	2	8	1174	616	38	43	96	书
5	1	6	1	2	9	1225	616	42	43	92	并
